"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2004","32.03","32.15","32.95","30.08","51.36K","1.04%"
"03/01/2004","31.70","33.81","34.80","31.60","111.19K","-6.07%"
"02/01/2004","33.75","29.00","34.10","28.72","115.18K","14.91%"
"01/01/2004","29.37","27.70","30.19","27.60","75.88K","6.14%"
"12/01/2003","27.67","27.30","28.60","26.73","117.87K","2.48%"
"11/01/2003","27.00","25.73","27.25","24.46","107.11K","5.47%"
"10/01/2003","25.60","24.62","26.91","24.40","87.28K","3.98%"
"09/01/2003","24.62","20.51","24.80","20.39","169.33K","18.02%"
"08/01/2003","20.86","19.25","20.89","19.21","169.13K","8.42%"
"07/01/2003","19.24","22.03","22.56","19.20","73.26K","-12.82%"
"06/01/2003","22.07","22.08","22.84","21.58","53.63K","0.14%"
"05/01/2003","22.04","22.00","23.55","21.59","34.79K","0.64%"
"04/01/2003","21.90","21.55","22.52","21.27","31.65K","2.34%"
"03/01/2003","21.40","21.10","21.75","20.30","42.31K","1.81%"
"02/01/2003","21.02","20.38","21.16","19.96","63.11K","2.09%"
"01/01/2003","20.59","21.18","21.50","20.01","71.87K","-3.15%"
"12/01/2002","21.26","22.65","22.92","20.90","98.74K","-6.14%"
"11/01/2002","22.65","21.92","22.80","21.60","101.09K","4.09%"
"10/01/2002","21.76","19.93","22.00","19.21","54.96K","9.46%"
"09/01/2002","19.88","20.74","21.02","19.70","140.84K","-4.05%"
"08/01/2002","20.72","20.56","21.43","19.90","193.92K","2.02%"
"07/01/2002","20.31","18.73","20.60","17.86","49.09K","9.84%"
"06/01/2002","18.49","18.84","19.11","17.80","30.72K","-2.07%"
"05/01/2002","18.88","16.45","18.90","16.26","30.14K","14.63%"
"04/01/2002","16.47","16.83","17.63","16.45","23.78K","-1.91%"
"03/01/2002","16.79","15.83","17.45","15.80","50.56K","6.74%"
"02/01/2002","15.73","15.57","16.47","15.48","60.89K","0.83%"
"01/01/2002","15.60","15.73","16.69","15.47","57.89K","-0.57%"
"12/01/2001","15.69","16.58","17.23","15.56","91.60K","-4.97%"
"11/01/2001","16.51","15.97","17.06","15.82","94.21K","3.71%"
"10/01/2001","15.92","15.85","16.40","15.21","57.75K","0.82%"
"09/01/2001","15.79","17.13","17.15","15.85","79.40K","-7.82%"
"08/01/2001","17.13","19.16","19.75","17.05","160.91K","-10.64%"
"07/01/2001","19.17","15.42","19.20","15.35","82.62K","23.84%"
"06/01/2001","15.48","15.40","15.94","15.05","42.93K","1.18%"
"05/01/2001","15.30","15.36","15.51","14.77","27.43K","-0.78%"
"04/01/2001","15.42","16.40","16.46","15.03","23.09K","-6.15%"
"03/01/2001","16.43","16.35","16.85","16.12","48.99K","0.92%"
"02/01/2001","16.28","15.38","16.49","15.11","59.82K","6.20%"
"01/01/2001","15.33","15.25","15.68","15.10","44.25K","0.39%"
"12/01/2000","15.27","15.60","16.12","15.23","65.44K","-0.91%"
